a_lat_kinematic_mps2,action_normalized_steer,collision,cte,delta,dt,heading_error,previous_delta,reward,s,step,success,termination_reason,v,v_ref,x,y,yaw
2.891365104088198e-06,-0.0012047352502122521,False,2.451294078926662e-05,-0.0007228411501273513,0.05,0.005131234836148746,0.0,0.007496713925465564,0.004999939911209036,0,0.0,,0.1,0.03158760507795783,4.255,13.25,-1.445682551892702e-06
6.3815723763286214e-06,-0.0006647470872849226,False,7.352435014641183e-05,-0.00039884825237095355,0.05,0.0055897846298598175,-0.0007228411501273513,0.014996062094130114,0.014999819804492314,1,0.0,,0.2,0.09476281568157131,4.264999999999989,13.249999985543175,-3.041075645970892e-06
9.875387364041117e-06,0.0004571938479784876,False,0.000147017436306739,0.00027431630878709256,0.05,0.006281648313357646,-0.00039884825237095355,0.02249495948379917,0.02999963976168727,2,0.0,,0.30000000000000004,0.18952563232785638,4.279999999999919,13.24999993992704,-1.395177751994936e-06
8.608937687503771e-05,0.0022419095039367676,False,0.00024504079037144264,0.0013451457023620605,0.05,0.007212699858849536,0.00027431630878709256,0.02999330646936794,0.04999939954330442,3,0.0,,0.4,0.315876053503815,4.2999999999999,13.249999912023485,9.365994357413143e-06
0.0002762817263622923,0.004604683723300695,False,0.0003678381026519467,0.002762810233980417,0.05,0.008390690937473355,0.0013451457023620605,0.037490935244757384,0.07499909795031323,4,0.0,,0.5,0.4738140716344555,4.324999999998804,13.250000146173344,3.6994166993764566e-05
0.0006506015014658393,0.0075300587341189384,False,0.0005601654304815258,0.0045180352404713625,0.05,0.010024490822281074,0.002762810233980417,0.04497966132903464,0.10499375835418905,5,0.0,,0.6,0.6456354617218755,4.354999999978276,13.250001255998352,9.121095878272811e-05
0.0012944436340830523,0.011007013730704784,False,0.001058436120414571,0.00660420823842287,0.05,0.013189071532037744,0.0045180352404713625,0.05247330159654431,0.13999021146855875,6,0.0,,0.7,0.7371586017226888,4.3899999998326855,13.250004448381905,0.00018367121836027067
0.00236655524717342,0.015406821854412556,False,0.0016315775794354718,0.009244093112647534,0.05,0.01684797139825811,0.00660420823842287,0.05995881476853396,0.17998610506277346,7,0.0,,0.7999999999999999,0.8417563378680671,4.4299999991579835,13.250011795230598,0.00033158092130847194
0.00395628221568388,0.02035023458302021,False,0.0024860934549432315,0.012210140749812125,0.05,0.020814343346823527,0.009244093112647534,0.06740908233938361,0.2249613012082494,8,0.0,,0.8999999999999999,0.9446659252275266,4.4749999966842005,13.250026716371783,0.0005513743777352254
0.006261564866188095,0.026129160076379776,False,0.003641129066860519,0.015677496045827865,0.05,0.02509449479258885,0.012210140749812125,0.07484167741797479,0.2749082790519143,9,0.0,,0.9992066251363709,1.0447959395973514,4.524960320346707,13.250054263216946,0.0008647012066749227
0.009398395696514506,0.03262423351407051,False,0.00513613236735382,0.019574540108442305,0.05,0.029644624717561907,0.015677496045827865,0.08197323553497568,0.32963127572620243,10,0.0,,1.0955276594351557,1.1457318044543596,4.579736682840091,13.250101628415496,0.0012936449953402374
0.013599321910982173,0.040033161640167236,False,0.0070086118759241775,0.024019896984100342,0.05,0.03445541515562445,0.019574540108442305,0.0890231725979005,0.3890818408559374,11,0.0,,1.189600927467882,1.2461094887480637,4.639216679443046,13.250178574458348,0.0018652367618297028
0.018978753366973918,0.04813248664140701,False,0.009402859259391631,0.028879491984844206,0.05,0.03936589967399051,0.024019896984100342,0.09577156496453461,0.45306522772609337,12,0.0,,1.2815887610884886,1.344078548630765,4.703296006027855,13.250298097712578,0.0026056752684398
0.025857126871476555,0.05722297728061676,False,0.012220938820544076,0.034333786368370055,0.05,0.04452384200242898,0.028879491984844206,0.10243209315180668,0.5215311790729767,13,0.0,,1.371873094611834,1.4434631159864633,4.771889427898773,13.250476830300029,0.003548077556706719
